id,host_response_rate,host_is_superhost,host_identity_verified,borough,property_type,room_type,accommodates,bathrooms,bedrooms,price,extra_people,availability_90,number_of_reviews,review_scores_rating,cancellation_policy,check_in_24h,air_conditioning,balcony,nature_and_views,tv,coffee_machine,cooking_basics,elevator,gym,parking,internet,pets_allowed,private_entrance,secure
35649783,100%,1.0,1.0,"Howard University, Le Droit Park, Cardozo/Shaw",House,Entire home/apt,4,1.5,2.0,250,0,52,1,95-100/100,strict_14_with_grace_period,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
35650878,100%,0.0,0.0,"Ivy City, Arboretum, Trinidad, Carver Langston",Apartment,Private room,2,1.0,1.0,85,0,0,0,nan,moderate,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
35653506,100%,0.0,0.0,"Georgetown, Burleith/Hillandale",Apartment,Entire home/apt,3,1.0,0.0,129,20,37,8,80-94/100,flexible,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
35672144,unknown,0.0,0.0,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",House,Private room,5,1.0,1.0,125,20,90,0,nan,moderate,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
35673643,100%,0.0,0.0,"North Cleveland Park, Forest Hills, Van Ness",House,Entire home/apt,8,2.0,3.0,199,20,90,0,nan,flexible,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
35679103,100%,1.0,0.0,"Union Station, Stanton Park, Kingman Park",House,Private room,2,1.0,1.0,59,25,43,1,95-100/100,flexible,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
35684395,50-89%,0.0,0.0,"Union Station, Stanton Park, Kingman Park",Apartment,Entire home/apt,6,1.0,1.0,139,25,42,3,80-94/100,flexible,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
35685015,100%,0.0,0.0,"Capitol Hill, Lincoln Park",Apartment,Entire home/apt,4,1.0,1.0,125,50,80,0,nan,strict_14_with_grace_period,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
35685559,100%,0.0,0.0,"Friendship Heights, American University Park, Tenleytown",House,Private room,2,1.0,1.0,35,10,13,1,95-100/100,moderate,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
35687041,100%,0.0,0.0,"Capitol Hill, Lincoln Park",Other,Shared room,2,1.0,1.0,39,40,48,0,nan,strict_14_with_grace_period,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
